,T15.f,T15.lg,T15.pv,T15.sm,T32.cs,T32.f,T32.lg,T32.pv,T32.sm,T35.f,T35.lg,T35.pv,T35.sm,T37.cs,T37.f,T37.lg,T37.pv,T37.sm,T38.f,T38.lg,T38.pv,T38.sm,T39.cs,T39.f,T39.lg,T39.pv,T39.sm,T4.cs,T4.f,T4.lg,T4.pv,T4.sm,T44.f,T44.lg,T44.sm,T6.f,T6.lg,T6.sm,T8.cs,T8.f,T8.lg,T8.pv,T8.sm
T37.pv,0.756685058,0.485642394,0.424521003,0.428036448,0.702690774,0.725303024,0.5873079,0.423221477,0.737816211,0.663394399,0.427534598,0.560327597,0.527963857,0.658440312,0.596245794,0.777315528,0,0.464843116,0.579928258,0.74741903,0.353212338,0.448110647,0.377650437,0.740070135,0.730298967,0.625698621,0.641868609,0.566758758,0.739109738,0.591817326,0.555838034,0.572257271,0.396210309,0.400164115,0.427538058,0.692652048,0.824554297,0.626046051,0.669590703,0.798133708,0.755186407,0.609445882,0.50574671
T37.sm,0.672166154,0.134641138,0.237684932,0.222663635,0.643162589,0.545459136,0.504418282,0.340965317,0.727588248,0.616670571,0.210880667,0.572921179,0.496384076,0.703918085,0.537769088,0.762675799,0.464843116,0,0.660087698,0.719007584,0.453749486,0.192086089,0.319939691,0.690447261,0.539968609,0.55878701,0.535995264,0.664452386,0.677845943,0.479477998,0.542532413,0.495207629,0.130560367,0.31136599,0.210484572,0.650104007,0.750999205,0.514492527,0.581807427,0.706521101,0.723873783,0.560180837,0.547307537
T38.f,0.69560708,0.623697614,0.556144453,0.553432249,0.407657515,0.451436534,0.719977992,0.593663119,0.579148678,0.345509564,0.542050165,0.750918668,0.678824356,0.596914594,0.739307994,0.646356815,0.579928258,0.660087698,0,0.568887319,0.441160155,0.615343017,0.537595842,0.603586456,0.437925121,0.783445628,0.46296637,0.430363239,0.644226538,0.748335668,0.760188423,0.693175742,0.563014148,0.509241419,0.546056797,0.376041548,0.717231503,0.744783032,0.311566479,0.666717357,0.597448718,0.68819616,0.545676128
T38.lg,0.34630487,0.694592789,0.660727153,0.655370092,0.591926057,0.592213475,0.358976188,0.681076417,0.116582249,0.533381283,0.62844467,0.568522793,0.352090999,0.696589418,0.527025496,0.286142676,0.74741903,0.719007584,0.568887319,0,0.708893926,0.68372906,0.65705705,0.346553242,0.582638078,0.52370021,0.578274702,0.582170335,0.29830218,0.48840571,0.565786553,0.458857198,0.660936488,0.660927798,0.651695906,0.565914775,0.327888048,0.776925284,0.524687231,0.271089321,0.226707557,0.77905847,0.461074651
T38.pv,0.773112345,0.406911642,0.327677195,0.32619073,0.666438572,0.691964722,0.549041706,0.323040934,0.713533335,0.614097421,0.335888006,0.568953945,0.506511277,0.688919899,0.589176773,0.758304943,0.353212338,0.453749486,0.441160155,0.708893926,0,0.35870353,0.282880596,0.707993646,0.684981965,0.634540918,0.668178326,0.585794802,0.747625377,0.590613822,0.576517762,0.539263523,0.369206654,0.317055316,0.34232837,0.649912635,0.806981235,0.577652505,0.615275916,0.772507808,0.725096071,0.522763941,0.397069187
T38.sm,0.720357036,0.099318554,0.178807488,0.16275402,0.608758242,0.524815083,0.478048569,0.243896677,0.708303945,0.583649672,0.151734985,0.564389993,0.462511791,0.732362099,0.573708976,0.744581699,0.448110647,0.192086089,0.615343017,0.68372906,0.35870353,0,0.190981523,0.747705265,0.519075224,0.61074217,0.623684575,0.581151645,0.735973132,0.542678889,0.595652677,0.555806612,0.254959763,0.253388079,0.151396813,0.616624784,0.743873714,0.484090805,0.543646102,0.698122007,0.704345348,0.541944848,0.513360651
T39.cs,0.749517079,0.245303866,0.179488851,0.173215492,0.580389861,0.608383271,0.464734433,0.202501137,0.663407057,0.476391303,0.154281336,0.526431591,0.427164301,0.662613331,0.538233946,0.716743597,0.377650437,0.319939691,0.537595842,0.65705705,0.282880596,0.190981523,0,0.702871126,0.59923918,0.592020611,0.592357135,0.513195919,0.706040079,0.52315678,0.557827405,0.501901707,0.212082213,0.214483937,0.157476217,0.549938963,0.771712119,0.518918491,0.514352504,0.730935993,0.671932962,0.49671407,0.461989777
T39.f,0.358751051,0.749651133,0.724009297,0.718331333,0.683984622,0.686214954,0.520036626,0.732134689,0.373956786,0.607192202,0.695502532,0.590997355,0.511118004,0.690634503,0.449023346,0.29334524,0.740070135,0.690447261,0.603586456,0.346553242,0.707993646,0.747705265,0.702871126,0,0.674140207,0.512350854,0.495120946,0.671329656,0.094531259,0.327306617,0.516658983,0.397484446,0.640609851,0.673282017,0.71360825,0.662887866,0.329419732,0.808238653,0.632966122,0.282878702,0.24443903,0.772711539,0.403995082
T39.lg,0.613053028,0.474118242,0.554352821,0.543737217,0.32626528,0.049276259,0.739466337,0.622181481,0.606333505,0.308393701,0.526532328,0.782832913,0.714231669,0.660123167,0.772954316,0.656936049,0.730298967,0.539968609,0.437925121,0.582638078,0.684981965,0.519075224,0.59923918,0.674140207,0,0.806740638,0.423359263,0.442567567,0.659778958,0.774727944,0.802228797,0.782330005,0.587700844,0.59694891,0.527973008,0.338312316,0.622022247,0.723610046,0.18595277,0.554483767,0.593284203,0.752396826,0.743722068
T39.pv,0.601113837,0.612165035,0.581815469,0.582832993,0.770054152,0.809337574,0.290032054,0.564492099,0.521060398,0.769125603,0.562103209,0.484833582,0.313770076,0.779143217,0.412240868,0.579854149,0.625698621,0.55878701,0.783445628,0.52370021,0.634540918,0.61074217,0.592020611,0.512350854,0.806740638,0,0.645996537,0.765879237,0.484495485,0.276581806,0.338966651,0.233639582,0.514853925,0.565687357,0.581561842,0.755249331,0.608539029,0.699510531,0.776200021,0.621030162,0.591852771,0.699859757,0.448210353
