,T15.f,T15.lg,T15.pv,T15.sm,T32.cs,T32.f,T32.lg,T32.pv,T32.sm,T35.f,T35.lg,T35.pv,T35.sm,T37.cs,T37.f,T37.lg,T37.pv,T37.sm,T38.f,T38.lg,T38.pv,T38.sm,T39.cs,T39.f,T39.lg,T39.pv,T39.sm,T4.cs,T4.f,T4.lg,T4.pv,T4.sm,T44.f,T44.lg,T44.sm,T6.f,T6.lg,T6.sm,T8.cs,T8.f,T8.lg,T8.pv,T8.sm
T37.sm,0.242932892,0.116767663,0.319894681,0.046878076,0.216156579,0.308388612,0.067080049,0.18203911,0.015025239,0.081191852,0.241772376,0.170632038,0.013167448,0.259118998,0.138992875,0.152685177,0.243868294,0,0.334678704,0.287306801,0.170122901,0.217249578,0.339747279,0.327662576,0.341269719,0.287700457,0.047878736,0.34243292,0.345498347,0.291094723,0.326894697,0.021043811,0.215004205,0.328977217,0.011635278,0.24915782,0.330566556,0.043384258,0.349301955,0.345965548,0.348692367,0.378757266,0.326165043
T38.f,0.107399916,0.217935373,0.375550294,0.293404045,0.120701436,0.084782721,0.281215678,0.296007775,0.32866296,0.26657842,0.236001482,0.431299132,0.340345953,0.104519325,0.224460419,0.189262024,0.427348329,0.334678704,0,0.056382128,0.196803846,0.158742051,0.084189242,0.077325573,0.068320268,0.282451058,0.315413125,0.090906648,0.086014378,0.085073495,0.384646459,0.32684721,0.143326366,0.08075488,0.323087291,0.08659945,0.09022104,0.354087236,0.092775311,0.096087343,0.070793794,0.422799193,0.030272722
T38.lg,0.055588804,0.171829004,0.382197165,0.249033279,0.073536526,0.078241052,0.231165095,0.269814053,0.278626859,0.218401263,0.192187777,0.401279259,0.290252249,0.067718768,0.1765465,0.139566753,0.407340236,0.287306801,0.056382128,0,0.161824584,0.111451998,0.107966697,0.085139972,0.087187679,0.240719125,0.270006952,0.111195964,0.112124491,0.068570264,0.393324909,0.280711595,0.123129888,0.094147965,0.27580579,0.066281383,0.097707241,0.307031748,0.112035484,0.111925681,0.088089041,0.427046908,0.059103206
T38.pv,0.117377063,0.064717191,0.354542392,0.128426517,0.110383779,0.203351806,0.131354124,0.150586769,0.180323945,0.147953314,0.221663544,0.250565038,0.161162738,0.133902372,0.07466619,0.064865791,0.254132356,0.170122901,0.196803846,0.161824584,0,0.08052102,0.224091976,0.211626588,0.218320958,0.148488812,0.167029602,0.234003061,0.231870999,0.179759913,0.34723774,0.168806447,0.074457552,0.2157258,0.173092215,0.142114959,0.225392864,0.161597222,0.236753477,0.239611304,0.223970703,0.365916223,0.190559949
T38.sm,0.092520688,0.122259702,0.379425097,0.194201272,0.046110329,0.136414842,0.178900826,0.209476096,0.228267196,0.215104896,0.249309718,0.293921571,0.209137014,0.085154819,0.124772567,0.088869663,0.297614517,0.217249578,0.158742051,0.111451998,0.08052102,0,0.165247842,0.154183949,0.16714195,0.143857683,0.217218844,0.170030122,0.173750166,0.119497061,0.373874312,0.220785446,0.059067756,0.154759074,0.220641155,0.077116724,0.158606895,0.197306713,0.174680017,0.172825335,0.17407043,0.384004128,0.150958193
T39.cs,0.162090652,0.23170572,0.399660814,0.319522893,0.129035521,0.035498517,0.28809005,0.364640863,0.337072965,0.321008167,0.288674373,0.450723675,0.345443723,0.125441,0.231471084,0.197685124,0.454264469,0.339747279,0.084189242,0.107966697,0.224091976,0.165247842,0,0.034199315,0.026595107,0.291334808,0.32411161,0.013084244,0.01762758,0.059135533,0.411444218,0.333213973,0.179496092,0.014639507,0.329768321,0.094892033,0.016563407,0.359462277,0.017699533,0.017637393,0.034222842,0.449895311,0.064625776
T39.f,0.13851995,0.214632273,0.399070278,0.302674393,0.114665235,0.023225079,0.272531137,0.352339884,0.319992901,0.30104784,0.274953442,0.440907712,0.331646582,0.105582549,0.215486701,0.180171236,0.446703769,0.327662576,0.077325573,0.085139972,0.211626588,0.154183949,0.034199315,0,0.028436311,0.270961308,0.300132217,0.037813666,0.034358219,0.046272466,0.409267326,0.315791828,0.164433191,0.020941213,0.316934499,0.080769053,0.024837425,0.348067467,0.039562283,0.038682837,0.03244417,0.445633456,0.049014633
T39.lg,0.140469174,0.226269067,0.4070447,0.304099289,0.12809264,0.033788727,0.288384959,0.352504182,0.336139775,0.301331222,0.275117738,0.458681867,0.347835994,0.122820316,0.233922176,0.196742243,0.462275963,0.341269719,0.068320268,0.087187679,0.218320958,0.16714195,0.026595107,0.028436311,0,0.298340972,0.324892504,0.03064691,0.036801087,0.065419368,0.41891605,0.338889486,0.178356243,0.021581245,0.330068851,0.095146504,0.031031172,0.361804956,0.02563218,0.029956085,0.008083927,0.455064712,0.050875175
T39.pv,0.197441285,0.195657989,0.440213542,0.267496257,0.182502234,0.264807558,0.245817973,0.252196521,0.295132191,0.28679061,0.327349096,0.214915679,0.276044024,0.204743329,0.188981829,0.156752578,0.219134852,0.287700457,0.282451058,0.240719125,0.148488812,0.143857683,0.291334808,0.270961308,0.298340972,0,0.258277627,0.296301748,0.286357221,0.236937198,0.42809389,0.277376222,0.153383328,0.285309072,0.291547285,0.203413123,0.284032847,0.250583963,0.306094331,0.300431601,0.302865367,0.356633404,0.272972122
T39.sm,0.226518333,0.105263604,0.32996438,0.049834423,0.199320759,0.292081794,0.052313823,0.194572441,0.042806459,0.080873184,0.245313512,0.189639495,0.054072592,0.23598744,0.121672301,0.136163435,0.252699149,0.047878736,0.315413125,0.270006952,0.167029602,0.217218844,0.32411161,0.300132217,0.324892504,0.258277627,0,0.323052603,0.32261686,0.275733628,0.341937572,0.036415706,0.210164167,0.315099925,0.037164838,0.230928259,0.314167359,0.069253474,0.332645863,0.32960251,0.332036275,0.383067228,0.308527231
T4.cs,0.16535715,0.23826572,0.405241043,0.326099107,0.127696791,0.034185977,0.288389063,0.374501225,0.33574733,0.32478577,0.297811214,0.458249373,0.347257178,0.131319741,0.231852108,0.196346394,0.45833414,0.34243292,0.090906648,0.111195964,0.234003061,0.170030122,0.013084244,0.037813666,0.03064691,0.296301748,0.323052603,0,0.019514307,0.063294064,0.416192419,0.336562061,0.189444139,0.021028287,0.330826195,0.093779679,0.015250867,0.362789453,0.015950479,0.013010623,0.038310803,0.460617109,0.072879723
T4.f,0.165824805,0.242054454,0.403753124,0.330099269,0.131692518,0.037974711,0.284319668,0.372266314,0.334400808,0.328374318,0.296835148,0.452957969,0.348921895,0.12988521,0.225531296,0.194070296,0.45699036,0.345498347,0.086014378,0.112124491,0.231870999,0.173750166,0.01762758,0.034358219,0.036801087,0.286357221,0.32261686,0.019514307,0,0.054644525,0.405513158,0.328679998,0.182776583,0.025861042,0.334720643,0.097473941,0.016227239,0.366412058,0.028429819,0.019862708,0.038049513,0.458917123,0.06759037
